"school_name","abbreviation","contact_person","contact_email","address"
"ACLC - Batangas City","ACLC",,"http://www.aclc.edu.ph/p/aclc-college-batangas.html","Batangas City"
"ACLC - San Pablo City","ACLC - SPC","n/a","aclc_sanpablo@amaes.edu.ph","Barangay, Inocencio Barleta St, San Pablo City, Laguna"
"Batangas State University - Alangilan (Main)","BSU - Alangilan","n/a"," batstate-u.edu.ph","Urban; Main campus: Rizal Ave, Batangas City"
"Batangas State University - Lipa","BSU - Lipa","n/a","batstate-u.edu.ph","A. Tanco Drive, Maraouy, Lipa, Batangas"
"Bicol University Polangui","BU",,,"Polangui, Albay"
"Cavite State University","CvSU",,"https://cvsu.edu.ph/","Indang, Cavite, Philippines"
"Cavite State University - Cavite","CvSU - Cavite","n/a","n/a","FV5J+C37, Dalahican, Cavite City, 4100 Cavite"
"Cavite State University - Rosario","CvSU - Rosario","n/a","office.president@cvsu.edu.ph"," CV38+C99, Rosario, Cavite"
"Colegio de San Juan de Letran - Calamba","CSJL - Calamba","n/a","letran-calamba.edu.ph","55Q8+F5J, Bucal Bypass Rd, Calamba, 4027 Laguna"
"De La Salle University - Lipa","DLSU - Lipa"," Emilio Manuel Macaso (ITE)","helpdesk@dlsl.edu.ph","1962 J.P. Laurel National Highway, Mataas na Lupa, 4217, Batangas"
"Greenville Academy of Sta. Clara","GVA","Cindy Malabuyoc","https://www.facebook.com/greenville2000/","26H3+8F9, Santo Tomas, Batangas"
"Laguna College","LC",,"registrar.laguna.college@gmail.com","Paseo de Escudero at Zulueta ST, Paseo de Escudero, Lungsod ng San Pablo, 4000 Laguna"
"Laguna State Polytechnic University - Los Baños Campus","LSPU - Los Baños Cam","N/A..","N/A..","Los Baños, 4030 Laguna"
"Laguna State Polytechnic University - San Pablo City Campus","LSPU - SPCC","Mr. Ronnel Dela Cruz","lspu@lspu.edu.ph","38M6+6VQ, Cosico Ave, San Pablo City, 4000 Laguna"
"Laguna State Polytechnic University - Santa Cruz (Main) Campus","LSPU - SCC","N/A.","N/A.","Santa Cruz, Laguna"
"Lyceum Polytechnic University - Batangas","LPU - Batangas","n/a","inquiry@lpubatangas.edu.ph ","P. Herera street corner Dona Aurelia street, Batangas, 4200 Batangas"
"Marcelino Fule Memorial College","MFMC","Harold Alea Coronado","mfmcollege1946@yahoo.com","Del Pilar Street, 1, Alaminos, Laguna"
"National University (Laguna)","NU","Noreen Clarice A. Borda ","naborda@nu-laguna.edu.ph","KM 53 Pan-Philippine Hwy, Calamba, 4027 Laguna"
"Others","Others","Others","Others@gmail.com","Others"
"Pamantasan ng Lungsod ng San Pablo","PLSP","n/a","n/a@gmail.com","387R+JMP, Alvarez St., San Pablo City, Laguna"
"Polytechnic University of the Philippines - Lopez","PUP - Lopez","n/a","inquire@pup.edu.ph","4316, Lopez, 4316 Quezon"
"San Pablo Colleges","SPC","Chelsea Lim","sanpablocolleges.edu.ph","3a Hermanos Belen Street, San Pablo City, 4000 Laguna"
"Servite Catholic School Laurel Batangas","SCSLB","Mr. Joshua Magsino","servitecatholicschool99@gmail.com","Laurel Batangas"
"Southern Luzon State University","SLSU",,"slsuregistrar@slsu.edu","Lucban - Tayabas Rd, Lucban, 4328 Quezon"
"St. Nicolas Golden Field Academy Inc","SNGFAI","N/A"," sngfai.spc@gmail.com","Maharlika Highway, Brgy. San Nicolas, San Pablo City, Philippines, 4000"
"St. Therese Montessori School of San Pablo, Inc.","STMS","Lara Jane Yedra","st.theresemontessori_spc@yahoo.com","Brgy. San Nicolas, San Pablo City"
"STI College San Pablo","STI SPC","Angelou Almare-Medina","sti.edu","4000 Lopez Jaena St, San Pablo City, Laguna"
"Technological Institute of the Philippines - Manila","TIP - Manila","n/a","info@tip.edu.ph","363 Casal St, Quiapo, Manila, 1001 Metro Manila"
"Teodoro Luansing College of Rosario","TLCR","n/a"," www.facebook.com/TMLCR2004Official","R6V2+R3X, Ibaan Road, Rosario, Batangas"
"University of Batangas","UB","Reydexter Abutar","admin@ub.edu.ph","Kumintang Ibaba, Batangas City, Philippines"
"University of Batangas - Lipa","UB - Lipa","Jennifer Pasahol"," jennifer.pasahol@ub.edu.ph","Leviste Hwy, Lipa, Batangas"
