batch_code,setup,industry,program_type,date_started,projected_end_date,is_open,is_completed,is_dissolved,created_at,updated_at
FBS-001,online,ICT,"College On-the-Job-Training",2022-03-22,2022-07-21,0,0,1,2022-12-06,"2023-08-29 12:11:15"
FBS-002,f2f,ICT,"College On-the-Job-Training",2022-08-30,,1,0,0,2022-08-30,"2022-08-30 13:54:41"
FBS-002,f2f,ICT,"College On-the-Job-Training",2022-08-22,,0,1,0,2022-08-22,"2022-08-26 10:39:01"
FBS-002,online,ICT,"College On-the-Job-Training",2023-03-24,,0,0,1,2023-02-09,"2023-08-29 12:13:06"
FBS-003,online,ICT,"College On-the-Job-Training",2023-03-24,,0,0,1,2023-02-09,"2023-08-29 12:15:17"
FBS-004,f2f,ICT,"College On-the-Job-Training",2022-07-18,2022-09-09,0,0,1,2022-07-14,"2023-08-29 12:17:41"
FBS-005,online,ICT,"College On-the-Job-Training",2022-09-05,2022-09-27,0,0,1,2022-09-01,"2023-08-29 12:18:27"
FBS-006,online,ICT,"College On-the-Job-Training",2022-09-20,2022-12-26,0,0,1,2022-09-19,"2023-08-29 12:30:03"
FBS-007,online,ICT,"College On-the-Job-Training",2022-11-28,2023-03-22,0,0,1,2022-11-22,"2023-08-29 12:32:42"
FBS-008,f2f,ICT,"College On-the-Job-Training",2000-02-13,2023-06-23,0,0,1,2023-02-03,"2023-08-29 12:33:23"
FBS-009,online,ICT,"College On-the-Job-Training",2023-02-13,2023-06-16,0,0,1,2023-02-03,"2024-01-10 09:32:00"
FBS-010,online,ICT,"College On-the-Job-Training",2022-11-28,2023-06-23,0,0,1,2023-04-04,"2023-08-29 12:35:23"
FBS-011,f2f,ACCTG,"College On-the-Job-Training",2023-03-06,2023-05-17,0,0,1,2023-02-09,"2023-09-18 14:57:20"
FBS-012,online,ICT,"Senior High School Work Immersion",2023-03-06,2023-03-17,0,0,1,2023-03-02,"2023-08-29 12:40:48"
FBS-013,online,ICT,"Senior High School Work Immersion",2023-03-06,2023-03-17,0,0,1,2023-03-09,"2023-08-29 12:42:52"
FBS-014,online,ACCTG,"College On-the-Job-Training",2023-04-03,2023-06-21,0,0,1,2023-03-14,"2023-08-29 12:43:24"
FBS-015,online,HUMSS,"Senior High School Work Immersion",2023-04-11,2023-04-25,0,0,1,2023-03-17,"2023-08-29 12:44:01"
FBS-016,f2f,ICT,"College On-the-Job-Training",2023-04-11,2023-07-14,1,0,1,2023-03-17,"2023-08-29 12:44:47"
FBS-017,f2f,ACCTG,"Senior High School Work Immersion",2023-06-13,2023-06-19,0,0,1,2023-06-05,"2023-08-29 12:45:27"
FBS-018,f2f,ICT,"College On-the-Job-Training",2023-06-19,2023-07-31,1,0,1,2023-05-26,"2023-09-25 10:00:13"
FBS-019,online,ICT,"College On-the-Job-Training",2023-06-19,2023-07-27,1,0,1,2023-06-13,"2023-09-25 10:00:05"
FBS-020,f2f,ICT,"College On-the-Job-Training",2023-07-10,2023-08-22,1,0,1,2023-06-23,"2023-09-25 10:00:00"
FBS-021,online,ACCTG,"College On-the-Job-Training",2023-07-10,,1,0,0,2023-07-03,"2023-09-25 09:59:34"
FBS-022,online,ICT,"College On-the-Job-Training",2023-07-03,,1,0,0,2023-07-03,"2023-08-29 12:46:25"
FBS-022,f2f,ICT,"Continuing Studies",2023-08-08,2023-09-22,1,0,1,2023-08-04,"2023-09-25 09:59:24"
FBS-023,f2f,ICT,"Continuing Studies",2023-09-04,2023-10-13,1,0,1,2023-08-30,"2023-10-23 07:41:31"
FBS-024,f2f,ICT,"College On-the-Job-Training",2023-09-18,,1,0,0,2023-09-12,"2023-09-26 07:24:31"
FBS-025,online,ACCTG,"College On-the-Job-Training",2023-10-16,2024-02-06,1,0,1,2023-10-10,"2024-02-06 10:11:02"
FBS-026,online,ICT,"College On-the-Job-Training",2023-10-18,,1,0,0,2023-10-18,"2024-02-06 10:11:07"
FBS-027,f2f,HUMSS,"Senior High School Work Immersion",0024-08-01,2024-01-19,1,0,1,2024-01-08,"2024-08-27 14:56:32"
FBS-028,f2f,STEM,"Senior High School Work Immersion",2024-01-08,2024-01-24,1,0,1,2024-01-08,"2024-08-27 14:58:04"
FBS-029,f2f,ABM,"Senior High School Work Immersion",2024-01-08,,1,0,1,2024-01-08,"2024-08-27 15:22:52"
FBS-030,f2f,GAS,"Senior High School Work Immersion",2024-01-08,2024-01-19,1,0,1,2024-01-08,"2024-01-30 08:00:57"
FBS-031,f2f,ICT,"College On-the-Job-Training",2024-02-20,2024-06-11,1,0,1,2024-01-23,"2025-02-25 12:43:06"
FBS-032,f2f,STEM,"Senior High School Work Immersion",2024-02-05,2024-02-19,1,0,1,2024-01-26,"2024-02-29 12:15:39"
FBS-033,f2f,STEM,"Senior High School Work Immersion",2024-02-05,2024-02-19,1,0,1,2024-01-26,"2024-02-29 12:15:44"
FBS-034,f2f,ABM,"Senior High School Work Immersion",2024-02-20,2024-03-08,1,0,1,2024-02-06,"2024-03-19 07:55:00"
FBS-035,f2f,ICT,"Senior High School Work Immersion",2024-03-11,2024-03-22,1,0,1,2024-02-29,"2025-02-25 12:43:03"
FBS-UNASSIGNED-V1,f2f,ICT,"College On-the-Job-Training",2022-07-18,,0,1,0,"2022-07-18 00:00:00","2022-07-18 00:00:00"
