batch_code,setup,industry,program_type,date_started,projected_end_date,is_open,is_completed,is_dissolved,created_at,updated_at
FBS-036,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2024-03-25,2024-04-12,0,1,0,"2024-03-21 16:04:10","2024-05-29 09:12:26"
FBS-037,f2f,Accounting,"Senior High School Work Immersion",2024-04-15,2024-04-26,0,1,0,"2024-04-04 07:10:18","2024-05-29 09:12:15"
FBS-038,f2f,"Information and Communication Technologies","College On-the-Job Training",2024-06-18,2024-07-29,0,1,0,"2024-05-31 08:12:17","2024-07-31 14:04:44"
FBS-039,f2f,"Administration and Management","College On-the-Job Training",2024-05-31,2024-06-06,0,1,0,"2024-05-31 08:12:17","2024-06-10 12:35:41"
FBS-040,f2f,"Information and Communication Technologies","Continuing Studies",2024-06-18,2024-07-22,0,1,0,"2024-06-14 15:12:47","2024-07-30 14:18:53"
FBS-041,f2f,"Information and Communication Technologies","IT Upskill Training",2024-06-18,2024-07-29,0,1,0,"2024-06-16 14:52:51","2024-07-31 14:04:55"
FBS-042,f2f,"Information and Communication Technologies","College On-the-Job Training",2024-07-08,2024-08-20,0,1,0,"2024-07-02 09:11:52","2024-09-03 08:09:30"
FBS-043,f2f,"Information and Communication Technologies","College On-the-Job Training",2024-07-24,2024-08-30,0,1,0,"2024-07-19 12:08:51","2024-09-06 09:25:50"
FBS-044,f2f,"Information and Communication Technologies","Continuing Studies",2024-07-24,2024-08-29,0,1,0,"2024-07-19 14:24:32","2024-09-06 09:26:01"
FBS-045,f2f,"Information and Communication Technologies","College On-the-Job Training",2024-09-09,2025-01-07,0,1,0,"2024-08-28 14:42:15","2025-01-10 08:46:08"
FBS-046,f2f,"Information and Communication Technologies","Continuing Studies",2024-09-17,2024-11-15,0,1,0,"2024-09-16 07:52:18","2024-11-19 07:42:07"
FBS-047,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2024-11-21,2024-12-04,0,1,0,"2024-09-19 07:41:07","2024-12-10 10:02:26"
FBS-048,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2024-11-21,2024-12-04,0,1,0,"2024-09-19 07:41:28","2024-12-10 10:02:21"
FBS-049,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2025-01-13,2025-01-24,0,1,0,"2025-01-03 07:41:46","2025-01-26 08:33:36"
FBS-050,f2f,"Accounting, Business, and Management","Senior High School Work Immersion",2025-01-13,2025-01-24,0,1,0,"2025-01-06 12:49:26","2025-01-26 08:33:45"
FBS-051,f2f,"Administration and Management","Senior High School Work Immersion",2025-01-13,2025-01-24,0,1,0,"2025-01-06 12:49:36","2025-01-26 08:33:52"
FBS-052,f2f,Accounting,"Senior High School Work Immersion",2025-01-27,2025-02-07,0,1,0,"2025-01-09 15:34:24","2025-02-14 10:21:35"
FBS-053,f2f,"Administration and Management","Senior High School Work Immersion",2025-01-27,2025-02-07,0,1,0,"2025-01-09 15:34:35","2025-02-14 10:21:54"
FBS-054,f2f,"Information Technology","College On-the-Job Training",2025-02-10,2025-06-03,0,1,0,"2025-01-20 12:21:52","2025-06-03 14:56:13"
FBS-055,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2025-01-27,2025-02-07,0,1,0,"2025-01-22 15:23:46","2025-02-14 10:22:04"
FBS-056,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2025-02-24,2025-03-07,0,1,0,"2025-01-22 15:25:51","2025-03-12 09:58:23"
FBS-057,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2006-02-24,2025-03-07,0,1,0,"2025-01-22 15:26:01","2025-03-12 09:58:28"
FBS-058,f2f,Accounting,"College On-the-Job Training",2025-02-10,2025-05-23,0,1,0,"2025-02-03 15:21:22","2025-05-27 08:23:41"
FBS-059,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2025-02-10,2025-02-19,0,1,0,"2025-02-04 13:18:42","2025-02-20 09:13:34"
FBS-060,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2025-03-12,2025-04-02,0,1,0,"2025-02-18 07:47:49","2025-05-13 08:33:20"
FBS-061,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2025-03-12,2025-04-02,0,1,0,"2025-03-04 10:09:33","2025-05-13 08:33:17"
FBS-062,f2f,"Information Technology","College On-the-Job Training",2025-04-07,2025-06-03,0,1,0,"2025-04-07 06:44:42","2025-06-03 14:56:19"
FBS-063,f2f,"Information Technology","College On-the-Job Training",2025-06-23,2025-08-01,0,1,0,"2025-05-20 15:47:09","2025-08-04 10:24:32"
FBS-064,f2f,"Information Technology","Continuing Studies",2025-06-23,2025-08-01,0,1,0,"2025-06-02 09:41:35","2025-09-09 12:20:55"
FBS-065,f2f,Accounting,"Continuing Studies",2025-09-16,,0,1,0,"2025-09-09 12:21:37","2025-10-12 14:22:13"
FBS-066,f2f,Accounting,"Continuing Studies",2025-10-13,2025-10-28,0,1,0,"2025-10-12 14:22:29","2025-11-04 09:45:44"
FBS-067,f2f,"Science, Technology, Engineering, and Mathematics","Senior High School Work Immersion",2026-01-19,2026-01-30,0,1,0,"2026-01-09 08:10:30","2026-02-09 13:09:20"
FBS-068,f2f,"Information Technology","College On-the-Job Training",2026-02-09,2026-05-18,0,1,0,"2026-01-09 08:10:47","2026-07-02 09:09:25"
FBS-069,f2f,"Information Technology","College On-the-Job Training",2026-02-16,2026-05-29,0,1,0,"2026-01-16 13:49:31","2026-07-02 09:09:30"
FBS-070,f2f,"Accounting, Business, and Management","Senior High School Work Immersion",2026-01-19,2026-01-30,0,1,0,"2026-01-19 08:26:44","2026-02-09 13:09:14"
FBS-071,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2026-01-26,2026-02-09,0,1,0,"2026-01-22 08:40:54","2026-02-09 13:09:30"
FBS-072,f2f,"Science, Technology, Engineering, and Mathematics","Senior High School Work Immersion",2026-02-09,2026-02-20,0,1,0,"2026-02-06 10:45:58","2026-03-13 09:50:46"
FBS-073,f2f,"Information and Communication Technologies","Senior High School Work Immersion",2026-02-23,2026-03-09,0,1,0,"2026-02-11 07:34:56","2026-03-13 09:50:41"
FBS-074,f2f,"Information Technology","College On-the-Job Training",2026-04-17,2026-05-13,0,1,0,"2026-04-13 14:26:56","2026-07-02 09:09:35"
FBS-075,f2f,"Information Technology","Continuing Studies",2026-05-11,2026-06-11,0,1,0,"2026-05-05 10:16:56","2026-07-02 09:09:40"
FBS-076,f2f,"Science, Technology, Engineering, and Mathematics","Senior High School Work Immersion",2026-05-22,2026-06-03,0,1,0,"2026-05-21 07:06:10","2026-07-02 09:09:46"
