school_name,abbreviation,contact_person,contact_email,address,created_at,updated_at
"ACLC - Batangas City",ACLC,,http://www.aclc.edu.ph/p/aclc-college-batangas.html,"Batangas City","2024-07-12 13:02:55","2024-07-12 13:02:55"
"ACLC - San Pablo City","ACLC - SPC",n/a,aclc_sanpablo@amaes.edu.ph,"Barangay, Inocencio Barleta St, San Pablo City, Laguna","2024-03-22 09:34:29","2024-03-22 09:34:29"
"Batangas State University - Alangilan (Main)","BSU - Alangilan",n/a," batstate-u.edu.ph","Urban; Main campus: Rizal Ave, Batangas City","2024-02-13 15:04:35","2024-03-22 09:29:46"
"Batangas State University - Lipa","BSU - Lipa",n/a,batstate-u.edu.ph,"A. Tanco Drive, Maraouy, Lipa, Batangas","2024-03-22 09:37:10","2024-03-22 09:37:10"
"Bicol University Polangui",BU,,,"Polangui, Albay","2024-05-29 08:51:12","2024-05-29 08:51:12"
"Cavite State University",CvSU,,https://cvsu.edu.ph/,"Indang, Cavite, Philippines","2024-07-19 14:09:44","2024-07-19 14:09:44"
"Cavite State University - Cavite","CvSU - Cavite",n/a,n/a,"FV5J+C37, Dalahican, Cavite City, 4100 Cavite","2024-03-22 09:44:48","2024-03-22 09:44:48"
"Cavite State University - Rosario","CvSU - Rosario",n/a,office.president@cvsu.edu.ph," CV38+C99, Rosario, Cavite","2024-03-22 09:42:20","2024-03-22 09:42:20"
"Colegio de San Juan de Letran - Calamba","CSJL - Calamba",n/a,letran-calamba.edu.ph,"55Q8+F5J, Bucal Bypass Rd, Calamba, 4027 Laguna","2024-03-22 09:18:39","2024-03-22 09:30:51"
"De La Salle University - Lipa","DLSU - Lipa"," Emilio Manuel Macaso (ITE)",helpdesk@dlsl.edu.ph,"1962 J.P. Laurel National Highway, Mataas na Lupa, 4217, Batangas","2024-03-22 09:20:03","2025-04-24 09:49:52"
"Greenville Academy of Sta. Clara",GVA,"Cindy Malabuyoc",https://www.facebook.com/greenville2000/,"26H3+8F9, Santo Tomas, Batangas","2024-03-22 10:19:25","2024-03-22 10:19:25"
"Laguna College",LC,,registrar.laguna.college@gmail.com,"Paseo de Escudero at Zulueta ST, Paseo de Escudero, Lungsod ng San Pablo, 4000 Laguna","2024-05-30 15:37:33","2024-05-30 15:37:33"
"Laguna State Polytechnic University - Los Baños Campus","LSPU - Los Baños Cam",N/A..,N/A..,"Los Baños, 4030 Laguna","2025-02-06 15:20:11","2025-02-06 15:20:11"
"Laguna State Polytechnic University - San Pablo City Campus","LSPU - SPCC","Mr. Ronnel Dela Cruz",lspu@lspu.edu.ph,"38M6+6VQ, Cosico Ave, San Pablo City, 4000 Laguna","2023-06-26 13:44:37","2024-03-22 09:16:04"
"Laguna State Polytechnic University - Santa Cruz (Main) Campus","LSPU - SCC",N/A.,N/A.,"Santa Cruz, Laguna","2025-02-06 15:19:26","2025-02-24 14:39:48"
"Lyceum Polytechnic University - Batangas","LPU - Batangas",n/a,"inquiry@lpubatangas.edu.ph ","P. Herera street corner Dona Aurelia street, Batangas, 4200 Batangas","2024-03-22 09:50:06","2024-03-22 09:50:06"
"Marcelino Fule Memorial College",MFMC,"Harold Alea Coronado",mfmcollege1946@yahoo.com,"Del Pilar Street, 1, Alaminos, Laguna","2024-03-22 09:52:39","2024-03-22 09:52:39"
"National University (Laguna)",NU,"Noreen Clarice A. Borda ",naborda@nu-laguna.edu.ph,"KM 53 Pan-Philippine Hwy, Calamba, 4027 Laguna","2026-05-22 12:27:59","2026-05-22 12:27:59"
Others,Others,Others,Others@gmail.com,Others,"2024-09-17 09:36:14","2024-09-17 09:36:14"
"Pamantasan ng Lungsod ng San Pablo",PLSP,n/a,n/a@gmail.com,"387R+JMP, Alvarez St., San Pablo City, Laguna","2024-09-17 08:11:40","2024-09-17 08:11:40"
